img_urls,titles,ratings,authors,details
https://img1.doubanio.com/mpic/s29343377.jpg,散步去,8.9,[日]谷口治郎/后浪丨北京联合出版公司/2017-3,享誉欧美的日本漫画大师谷口治郎的代表作，汇集了18篇散步的故事，以电影镜头般的画笔描绘了日常的散步之乐和生活之美。
https://img1.doubanio.com/mpic/s29385647.jpg,地下铁道,9.1,[美]科尔森·怀特黑德（ColsonWhitehead）/世纪文景/上海人民出版社/2017-3,美国国家图书奖获奖作品，讲述少女科拉无家可归，受到欺辱和强暴，搭乘秘密的地下铁道一路向北、投奔自由的传奇故事。
https://img3.doubanio.com/mpic/s29357091.jpg,驻马店伤心故事集,8.9,郑在欢/上海文艺出版社/2017-2,郑在欢的中国版《小城畸人》，分为「病人列传」和「cult家族」两部分，用魔幻与残酷印刻出这个世界存在的现象和本质。
https://img3.doubanio.com/mpic/s29390802.jpg,草原动物园,9.2,马伯庸/中信出版社/2017-3,一位传教士带着「半个动物园」勇闯蒙古草原的奇幻故事，马伯庸历史奇幻新作，「马亲王」新历史主义写作的进阶之路。
https://img3.doubanio.com/mpic/s29365601.jpg,遇见野兔的那一年,8.3,[芬]阿托·帕西林纳/中信出版集团/2017-3-1,芬兰国宝级作家阿托·帕西林纳里程碑式作品，一个关于追求自由、逃离都市的生命转折故事。
https://img3.doubanio.com/mpic/s29247833.jpg,被占的宅子,9.2,[阿根廷]胡利奥·科塔萨尔/南海出版公司/2017-3,阿根廷小说大师胡利奥·科塔萨尔短篇小说全集第一部，收录《彼岸》《动物寓言集》《游戏的终结》三部短篇集。
https://img3.doubanio.com/mpic/s29261915.jpg,原谅石,8.7,[美]洛里·斯皮尔曼/九州出版社/2017-2,一个女人回望过去，找到二十年前的自己。德国年度十大畅销书排行榜作品，一个关于勇气与和解的故事。
https://img1.doubanio.com/mpic/s29335378.jpg,公牛山,8.8,[美]布赖恩·帕诺威奇/上海译文出版社/2017-2,一部绵延三代人、横跨数十年的黑道世家史诗，国际惊险小说家协会2016年度首作奖获奖作品。
https://img1.doubanio.com/mpic/s29360928.jpg,寻找时间的人,8.7,[爱尔兰]凯特·汤普森/江苏凤凰文艺出版社/2017-3,爱尔兰国家文学奖得主凯特·汤普森作品，一部关于成长、亲情，以及不断消失的传统的颂歌。
https://img5.doubanio.com/mpic/s29245396.jpg,带艾伯特回家,8.8,[美]霍默·希卡姆/未读·北京联合出版公司/2017-3,美国畅销书作家霍默·希卡姆的治愈系小说，一只鳄鱼充满惊喜的公路之旅，一个关于爱与选择的真实故事。
