c_date_time,p_name,p_url,c_data,c_rank,c_recom,c_date,c_time,c_rank_num
2018-01-19 18:17:25,王大根,https://www.douban.com/people/diewithme/," 在这种家庭里做一条狗都好啊
        ",力荐,6463,2018-01-19,18:17:25,5
2017-11-25 02:12:27,李阿斗,https://www.douban.com/people/gailsylee/," 当时出国以后的第一最大感受就是尊重，不论老弱病孕还是任何“与众不同”，都不会有人上下打量你。我不能说他们内心是否真的友善，但是尊重是最起码的原则。希望这个世界多一些善意，任何人都有自己存在的理由和方式，看到每个人由衷接受Auggie的时候太暖心了。
        ",力荐,3429,2017-11-25,02:12:27,5
2017-12-06 15:10:45,光明小卖部,https://www.douban.com/people/gooooooooooohe/," 所有人都知道是化妆只有我一个人以为请的真实病人出演吗。。。
        ",力荐,3349,2017-12-06,15:10:45,5
2017-11-24 15:57:52,同志亦凡人中文站,https://www.douban.com/people/3540441/," 有种糖放多了的感觉，精华基本都在预告里了。但对孩子们的纯真友情毫无抵抗力啊，就像被温柔的抚摸了一下软肋。Jacob Tremblay涂着厚厚化妆都能感受到演技，小李子真好意思把奥斯卡摆在家里吗...
        ",推荐,1814,2017-11-24,15:57:52,4
2018-01-19 14:18:28,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/," 其实这更像当代童话，因为，实在是太暖了。里面每个人都那么暖，怎么可以那么暖，怎么可以那么暖！像一个暖心的童话故事。虽然，我也怀疑这样故事的真实性，但是，却喜欢被这样暖的故事感动，一度哭到不行。
        ",推荐,1711,2018-01-19,14:18:28,4
2018-01-14 17:43:28,Mona Lishark,https://www.douban.com/people/run11run/," 为什么欧文威尔逊和范迪塞尔可以在他们参演的几乎所有电影里都保持同一个发型？
        ",还行,1212,2018-01-14,17:43:28,3
2018-01-06 23:34:05,西楼尘,https://www.douban.com/people/xilouchen/," 秋天排练的话剧春天才会公演，软盘誊抄的论文硬盘才能呈现。你无非是度过了五年级，时间却有魔法经历非凡。躲在卧室里的灵魂最向往蓝天，藏在头盔中的容颜最渴望看见。你其实并没有炸掉死星，楚巴卡会令有些人变得不凡。一杯水能让光影折射，一个男孩能让善良被选择。奥古是杯水，折射出每个人的善意。
        ",还行,1451,2018-01-06,23:34:05,3
2017-10-25 16:57:25,擦声无声,https://www.douban.com/people/qingxingji/," 每个人，不论年龄、性别（弟弟、姐姐、姐姐的闺蜜），在成长都会遇到质疑、泪水、冷眼、谎言、误解、痛苦、嘲讽、挣扎、阵痛。都可以在电影《wonder》中找到影子，产生共鸣。《wonder》以小见大，小故事大题材，折射出真善美，勇敢与希望，宽容与理解，不论在任何国度、任何肤色，都是人类永恒的主题。
        ",力荐,1396,2017-10-25,16:57:25,5
2017-11-30 15:09:07,巨米雨,https://www.douban.com/people/rainleo410818/," 一碗甜而不腻的普世价值鸡汤，非常好喝。

看之前我以为是讲主角小男孩的，原来是章回体，每个人都有故事每个人都有视角每个人都有选择。

每个人都很美很好。

开演前基友给我说这部电影就像夏天一样清新，是啊没错，像泡在透明干净的玻璃瓶中的黄瓜水一样，安心又健康，还有甘甜味。
        ",力荐,1215,2017-11-30,15:09:07,5
2017-12-06 17:14:08,私~川流,https://www.douban.com/people/1237270/," 买票的时候很纠结，因为是完全可以预料到的剧情。这种温馨少年故事虽各各不同却又次次类似。若是你近来心情疲惫，这部电影是个流泪的好借口。
        ",推荐,1057,2017-12-06,17:14:08,4
